opportunity_id,target
10689,0.5703906782513204
10690,0.5722471116351514
10691,0.8000846023127435
10692,0.6474966487134601
10693,0.9271421802300114
10694,0.9271421802300114
10695,0.4004833978876561
10696,0.39973522747350637
10697,0.43892565472628786
10698,0.5100531839357186
10699,0.3930195589721033
10700,0.615637729227878
10701,0.615637729227878
10702,0.7654465934485699
10703,0.615637729227878
10704,0.9801435669451657
10705,0.622297382327782
10706,0.3149747006259853
10707,0.40610335972796735
10708,0.3986419210303591
10709,0.9169372700091011
10710,0.5732904502268698
10711,0.5732651089808557
10712,0.8430086272373148
10713,0.5626732476888515
10714,0.42768917092298075
10715,0.7985569793467131
10716,0.6989735187292927
10717,0.48728978810923107
10718,0.7709425094067245
10719,0.7403312924457258
10720,0.3224498936646329
10721,0.4140676599323507
10722,0.9317205170764818
10723,0.8161848235371874
10724,0.9631742567676089
10725,0.9184483793295377
10726,0.4518103886705494
10727,0.3442109664993511
10728,0.9507808497485939
10729,0.7545771493362626
10730,0.9703829001178402
10731,0.7030369288636589
10732,0.6789666882976336
10733,0.6789666882976336
10734,0.4427817348908261
10735,0.7734201635687167
10736,0.6948542937208314
10737,0.8211856799547935
10738,0.667502901616423
10739,0.7993301951572854
10740,0.4001189831291157
10741,0.8117327599495351
10742,0.8081961042187027
10743,0.2690703204805386
10744,0.2911959772557862
10745,0.2911959772557862
10746,0.2911959772557862
10747,0.2911959772557862
10748,0.8073961408452809
10749,0.8942672414795527
10750,0.5866519847057733
10751,0.3457269254677198
10752,0.3457269254677198
10753,0.38467195072890886
10754,0.683235566204135
10755,0.7923919144837223
10756,0.8647423094159021
10757,0.8058550709238175
10758,0.712789769045464
10759,0.5558468140165281
10760,0.23259824706938909
10761,0.9220424426064647
10762,0.8388412050155754
10763,0.7336228181184682
10764,0.6282118475872752
10765,0.6878171392417071
10766,0.9158877503626104
10767,0.9165644544084495
10768,0.6188378616771065
10769,0.369027830153766
10770,0.11348329182007819
10771,0.9447878026746819
10772,0.8910437917364611
