opportunity_id,target
10689,0.0
10690,1.0
10691,1.0
10692,1.0
10693,1.0
10694,1.0
10695,0.0
10696,0.0
10697,0.0
10698,0.0
10699,0.0
10700,1.0
10701,1.0
10702,1.0
10703,1.0
10704,1.0
10705,0.0
10706,0.0
10707,0.0
10708,1.0
10709,1.0
10710,0.0
10711,0.0
10712,1.0
10713,0.0
10714,0.0
10715,1.0
10716,0.0
10717,0.0
10718,1.0
10719,1.0
10720,0.5
10721,1.0
10722,1.0
10723,1.0
10724,1.0
10725,1.0
10726,0.0
10727,0.0
10728,1.0
10729,1.0
10730,1.0
10731,1.0
10732,1.0
10733,1.0
10734,0.0
10735,1.0
10736,1.0
10737,0.7647058823529411
10738,1.0
10739,1.0
10740,0.0
10741,1.0
10742,1.0
10743,0.0
10744,0.0
10745,0.0
10746,0.0
10747,0.0
10748,0.7647058823529411
10749,1.0
10750,0.0
10751,1.0
10752,1.0
10753,1.0
10754,1.0
10755,1.0
10756,0.0
10757,1.0
10758,1.0
10759,0.0
10760,0.0
10761,1.0
10762,1.0
10763,1.0
10764,1.0
10765,0.5
10766,1.0
10767,1.0
10768,1.0
10769,1.0
10770,0.0
10771,1.0
10772,1.0
10773,0.0
10774,1.0
10775,1.0
10776,1.0
10777,1.0
10778,1.0
10779,1.0
10780,1.0
10781,0.0
10782,1.0
10783,0.0
10784,1.0
10785,1.0
10786,0.0
10787,1.0
10788,1.0
10789,0.7647058823529411
10790,0.0
10791,1.0
10792,1.0
10793,1.0
10794,1.0
10795,1.0
10796,0.0
10797,0.0
10798,0.0
10799,0.0
10800,0.0
10801,0.0
10802,0.0
10803,0.0
10804,0.0
10805,0.0
10806,1.0
10807,0.0
10808,1.0
10809,1.0
10810,0.0
10811,1.0
10812,0.5
10813,0.0
10814,0.0
10815,1.0
10816,1.0
10817,0.0
10818,0.5
10819,1.0
10820,1.0
10821,0.0
10822,0.0
10823,1.0
10824,0.0
10825,0.0
10826,1.0
10827,1.0
10828,1.0
10829,1.0
10830,0.0
10831,0.0
10832,0.0
